ID,Timestamp,Video Source,Frame,Video Time (s),Track ID,Similarity,Confirmed,Bbox,Clip Path
18,2026-05-15 20:05:23.751102,data/videos/walk.mp4,87,2.9,15,0.5948331952095032,True,"(1932,592,1971,640)",
19,2026-05-15 20:05:45.892687,data/videos/walk.mp4,90,3.0,15,0.621571958065033,True,"(1934,589,1971,634)",
20,2026-05-15 20:06:12.825637,data/videos/walk.mp4,93,3.1,15,0.676526665687561,True,"(1934,593,1973,640)",
21,2026-05-15 20:06:35.300388,data/videos/walk.mp4,96,3.2,15,0.6629192233085632,True,"(1933,597,1973,646)",
22,2026-05-15 20:07:02.285344,data/videos/walk.mp4,99,3.3,15,0.6091903448104858,True,"(1932,593,1972,642)",
23,2026-05-15 20:07:24.967403,data/videos/walk.mp4,102,3.4,21,0.4681091904640198,False,"(1933,584,1974,633)",
24,2026-05-15 20:08:54.718472,data/videos/walk.mp4,114,3.8,15,0.41747066378593445,True,"(1963,584,2011,643)",
25,2026-05-15 20:09:26.872061,data/videos/walk.mp4,117,3.9,15,0.6382994651794434,True,"(1974,575,2021,631)",
26,2026-05-15 20:09:49.676061,data/videos/walk.mp4,120,4.0,15,0.5958558917045593,True,"(1979,567,2029,624)",
27,2026-05-15 20:10:12.590768,data/videos/walk.mp4,123,4.1,2,0.6289465427398682,False,"(1984,566,2034,623)",
28,2026-05-15 20:10:35.093264,data/videos/walk.mp4,126,4.2,1,0.6107207536697388,False,"(1986,569,2035,627)",
29,2026-05-15 20:10:57.674777,data/videos/walk.mp4,129,4.3,2,0.5899035930633545,False,"(1985,573,2038,633)",
30,2026-05-15 20:11:15.399609,data/videos/walk.mp4,132,4.4,2,0.5568263530731201,True,"(1983,566,2034,627)",
31,2026-05-15 20:11:33.561443,data/videos/walk.mp4,135,4.5,1,0.5338406562805176,False,"(1985,563,2036,624)",
32,2026-05-15 20:11:46.510964,data/videos/walk.mp4,138,4.6,1,0.5273449420928955,True,"(1991,566,2042,627)",
33,2026-05-15 20:12:06.225960,data/videos/walk.mp4,141,4.7,1,0.5440182685852051,True,"(1993,572,2049,634)",
34,2026-05-15 20:12:23.802977,data/videos/walk.mp4,144,4.8,1,0.5154578685760498,True,"(2004,580,2056,638)",
35,2026-05-15 20:12:37.140623,data/videos/walk.mp4,147,4.9,1,0.5003696084022522,True,"(2015,578,2071,638)",
36,2026-05-15 20:12:54.849671,data/videos/walk.mp4,150,5.0,1,0.49065107107162476,True,"(2022,567,2080,631)",
37,2026-05-15 20:13:07.558913,data/videos/walk.mp4,153,5.1,1,0.4843430519104004,True,"(2018,559,2084,625)",
38,2026-05-15 20:13:20.638780,data/videos/walk.mp4,156,5.2,1,0.5058845281600952,True,"(2022,556,2085,624)",
39,2026-05-15 20:13:43.125602,data/videos/walk.mp4,159,5.3,1,0.5089309811592102,True,"(2026,562,2090,629)",
40,2026-05-15 20:13:55.711395,data/videos/walk.mp4,162,5.4,1,0.5081964731216431,True,"(2024,565,2093,636)",
41,2026-05-15 20:14:17.964831,data/videos/walk.mp4,165,5.5,1,0.5229024887084961,True,"(2028,554,2097,625)",
42,2026-05-15 20:14:40.941097,data/videos/walk.mp4,168,5.6,2,0.5279397964477539,False,"(2038,530,2109,610)",
43,2026-05-15 20:15:00.250808,data/videos/walk.mp4,171,5.7,2,0.5853902697563171,False,"(2055,515,2128,600)",
44,2026-05-15 20:15:28.324795,data/videos/walk.mp4,174,5.8,2,0.5726783275604248,True,"(2070,514,2146,601)",
45,2026-05-15 20:15:49.604945,data/videos/walk.mp4,177,5.9,15,0.5242531299591064,False,"(2088,517,2167,607)",
46,2026-05-15 20:16:23.592460,data/videos/walk.mp4,180,6.0,2,0.5523130893707275,True,"(2109,505,2191,600)",
47,2026-05-15 20:17:05.202901,data/videos/walk.mp4,183,6.1,2,0.529577374458313,True,"(2122,490,2207,586)",
48,2026-05-15 20:17:41.233831,data/videos/walk.mp4,186,6.2,2,0.5426298975944519,True,"(2127,479,2215,578)",
49,2026-05-15 20:18:07.974470,data/videos/walk.mp4,189,6.3,2,0.5630921721458435,True,"(2132,478,2222,580)",
50,2026-05-15 20:18:36.483042,data/videos/walk.mp4,192,6.4,2,0.5493381023406982,True,"(2135,484,2230,593)",
